Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2025-44,31/10/2025,63.8,29/10/2025,60.5,62,563,468674,28832011.7,31-10-2025,5
2025-43,21/10/2025,63,23/10/2025,61.2,61.5,654,875845,54112175.7,24-10-2025,4
2025-42,13/10/2025,64.4,13/10/2025,62,63.1,600,583984,37037286.4,17-10-2025,5
2025-41,8/10/25,67.5,7/10/25,62.3,64.5,1110,2667121,173242310.6,10/10/25,4
2025-40,3/10/25,64,30/09/2025,54.5,62.9,1406,6815574,397717536.6,3/10/25,5
2025-39,25/09/2025,59,22/09/2025,45.8,55.4,1905,5860927,313671305.3,26-09-2025,5
2025-38,19/09/2025,46.4,16/09/2025,44.9,46,376,497758,22752553.5,19-09-2025,5
2025-37,9/9/25,46.8,10/9/25,45,45.3,522,2903879,132609702.4,12/9/25,5
2025-36,1/9/25,47,2/9/25,45,45.8,464,357953,16544997,4/9/25,4
2025-35,28/08/2025,47.2,27/08/2025,46,46.7,664,911591,42623737,29-08-2025,5
2025-34,22/08/2025,46.2,20/08/2025,45.5,46,438,1991047,92054663.5,22-08-2025,5
2025-33,15/08/2025,45.6,15/08/2025,45,45.4,372,235909,10685766.8,15-08-2025,5
2025-32,4/8/25,46.5,6/8/25,45,45.3,333,633547,29165964.8,7/8/25,4
2025-31,1/8/25,46.3,31/07/2025,45,46.2,398,1418797,64808436.8,1/8/25,5
2025-30,24/07/2025,45.5,22/07/2025,44.4,45,509,2148695,96492775.3,25-07-2025,5
2025-29,15/07/2025,46.4,18/07/2025,44.7,44.8,659,2919361,131687609.7,18-07-2025,5
2025-28,11/7/25,45.7,8/7/25,43.9,45.2,343,569378,25497458.7,11/7/25,4
2025-27,1/7/25,45.4,4/7/25,44,45,649,2079242,93494057.1,4/7/25,5
2025-26,27/06/2025,44.5,23/06/2025,40.9,44.4,810,2367333,102125723,27-06-2025,5
2025-25,17/06/2025,44.1,20/06/2025,41.6,43,678,1976897,85448900.4,20-06-2025,5
2025-24,9/6/25,45.2,13/06/2025,42.5,43.3,516,947535,42250309.8,13-06-2025,4
2025-23,4/6/25,44.9,2/6/25,43,44.2,740,1310573,57668144.1,6/6/25,5
2025-22,27/05/2025,44.4,26/05/2025,42,43,589,1511405,65474528.1,30-05-2025,5
2025-21,19/05/2025,43.2,22/05/2025,41.6,42,603,773386,32612851.2,23-05-2025,5
2025-20,16/05/2025,44,14/05/2025,41.4,43,954,2381822,103112693,16-05-2025,3
2025-19,8/5/25,42,6/5/25,39,41.5,936,4730391,189837161.4,9/5/25,5
