Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2025,8/10/25,67.5,12/3/25,33.7,62,26214,77331610,3458091716,31-10-2025,198
2024,30/12/2024,40,4/9/24,24.9,39,22471,107465946,3082584425,31-12-2024,241
2023,12/12/23,29,18/01/2023,12.9,28,27461,187932178,4395048045,29-12-2023,242
2022,6/1/22,19.3,27/04/2022,12.6,13.2,10890,28992901,467901025.2,30-12-2022,232
2021,22/01/2021,24.6,21/12/2021,16.5,17,22247,84394736,1651062876,31-12-2021,240
2020,2/12/20,22,2/11/20,17,20.5,5359,30285986,626301600.7,31-12-2020,42
