Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2025-44,30/10/2025,1735,27/10/2025,1680,1696.75,333,10995,18648438.75,31-10-2025,5
2025-43,24/10/2025,1700,24/10/2025,1679,1680,311,65103,109627415.3,24-10-2025,4
2025-42,16/10/2025,1700.25,17/10/2025,1600,1696.5,346,20045,33731142,17-10-2025,5
2025-41,7/10/25,1699.75,7/10/25,1674,1689.5,217,5603,9471472.25,10/10/25,4
2025-40,3/10/25,1678,29/09/2025,1635,1675.5,298,29501,49169358,3/10/25,5
2025-39,25/09/2025,1675,23/09/2025,1585,1648.5,342,45993,73702164.75,26-09-2025,5
2025-38,15/09/2025,1633,16/09/2025,1598.25,1599.75,487,91881,147009687.8,19-09-2025,5
2025-37,8/9/25,1665,12/9/25,1599,1599.75,536,78698,126081127,12/9/25,5
2025-36,1/9/25,1675,2/9/25,1600,1663,299,23820,39250452.75,4/9/25,4
2025-35,29/08/2025,1675,25/08/2025,1601,1669.5,306,26093,42762630.5,29-08-2025,5
2025-34,20/08/2025,1649,21/08/2025,1600,1609.25,396,16500,26768052.5,22-08-2025,5
2025-33,13/08/2025,1620,11/8/25,1550,1614,449,39157,62362490.5,15-08-2025,5
2025-32,7/8/25,1560,5/8/25,1535,1560,202,39850,61760734,7/8/25,4
2025-31,1/8/25,1540,28/07/2025,1494.25,1539.5,302,20128,30603180.25,1/8/25,5
2025-30,25/07/2025,1500,23/07/2025,1435,1494.25,321,27792,40679148.75,25-07-2025,5
2025-29,14/07/2025,1465.25,15/07/2025,1439,1450,379,45257,65727967.25,18-07-2025,5
2025-28,11/7/25,1459,9/7/25,1430,1456.5,281,7746,11206730.25,11/7/25,4
2025-27,30/06/2025,1487,3/7/25,1445,1458.75,253,25752,37441607.75,4/7/25,5
2025-26,25/06/2025,1500,23/06/2025,1380.25,1483.25,206,13918,20214221.75,27-06-2025,5
2025-25,17/06/2025,1469.75,20/06/2025,1399.5,1400,450,213040,307952383,20-06-2025,5
2025-24,9/6/25,1499.75,9/6/25,1451,1470.25,199,6384,9414848,13-06-2025,4
2025-23,4/6/25,1600,3/6/25,1375,1450,454,79354,112519700,6/6/25,5
2025-22,26/05/2025,1425,29/05/2025,1370,1380.5,355,102255,141090938,30-05-2025,5
2025-21,22/05/2025,1430,19/05/2025,1380,1409.5,424,18821,26516475.75,23-05-2025,5
2025-20,15/05/2025,1420,14/05/2025,1360,1413,208,15112,21195497.5,16-05-2025,3
2025-19,7/5/25,1370,6/5/25,1345,1369.75,208,148327,199909345.8,9/5/25,5
2025-18,29/04/2025,1376,28/04/2025,1340.5,1350.25,238,113464,153244108,2/5/25,4
2025-17,21/04/2025,1378,24/04/2025,1339,1352.25,241,61596,82663608,25-04-2025,5
2025-16,17/04/2025,1378,17/04/2025,1339,1339.25,152,28560,38277617,17-04-2025,2
2025-15,10/4/25,1384.5,7/4/25,1237,1339.75,632,173276,228673143.8,11/4/25,5
2025-14,3/4/25,1391.25,4/4/25,1325.25,1340,220,52975,70948998,4/4/25,4
2025-13,28/03/2025,1364,28/03/2025,1350,1350.25,167,29577,39983996.5,28-03-2025,5
12/1/25,21/03/2025,1380,20/03/2025,1325,1350.5,205,10228,13615399.25,21-03-2025,5
11/1/25,11/3/25,1370,14/03/2025,1330,1330.75,229,30367,40857325,14-03-2025,4
10/1/25,3/3/25,1450,6/3/25,1200,1354,342,30148,41059113.5,7/3/25,5
9/1/25,25/02/2025,1460,27/02/2025,1380,1423.75,267,26359,37342618.75,28-02-2025,4
8/1/25,18/02/2025,1500,20/02/2025,1420,1434.25,197,63375,90053994.5,21-02-2025,5
7/1/25,10/2/25,1460,13/02/2025,1420,1450,173,46350,65899536.75,14-02-2025,4
6/1/25,3/2/25,1479.75,5/2/25,1445,1447,242,28782,41922478.25,7/2/25,4
5/1/25,27/01/2025,1498,27/01/2025,1465,1479.5,239,47341,70081533.75,31-01-2025,5
4/1/25,23/01/2025,1560,20/01/2025,1397.5,1497.5,423,112632,162694915,24-01-2025,5
3/1/25,16/01/2025,1424,15/01/2025,1390,1417.25,174,116398,162976477.3,17-01-2025,3
2/1/25,6/1/25,1425,6/1/25,1362.75,1396.75,254,108655,149672999,10/1/25,5
1/1/25,2/1/25,1412,2/1/25,1360.75,1400,181,20484,28648363.25,3/1/25,2
2024-52,27/12/2024,1325,23/12/2024,1299.25,1325,253,237321,308877714.5,27-12-2024,4
2024-51,16/12/2024,1338.5,20/12/2024,1300,1301,440,431695,565930049.5,20-12-2024,5
2024-50,13/12/2024,1338.75,9/12/24,1290.5,1331,197,12382,16305564.25,13-12-2024,5
2024-49,6/12/24,1299.5,4/12/24,1271.75,1294,148,6780,8695799,6/12/24,5
2024-48,29/11/2024,1295,26/11/2024,1245,1275.25,148,8950,11300149.75,29-11-2024,5
2024-47,19/11/2024,1290,22/11/2024,1230.25,1253.5,271,32680,41385621.25,22-11-2024,5
2024-46,14/11/2024,1275,11/11/24,1250,1269.5,252,29405,37273065.25,14-11-2024,4
2024-45,8/11/24,1240,7/11/24,1220,1230.25,316,34596,42479804.25,8/11/24,5
2024-44,1/11/24,1240,28/10/2024,1225,1235.5,124,10715,13251737,1/11/24,4
2024-43,25/10/2024,1250,24/10/2024,1208.25,1249.75,188,8274,10150323,25-10-2024,5
