Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2025,30/10/2025,1735,6/3/25,1200,1696.75,13138,2317692,3343433436,31-10-2025,198
2024,31/12/2024,1415,2/1/24,955,1397.25,9785,2493470,3016757072,31-12-2024,241
2023,5/9/23,1060,19/01/2023,598,953.75,7984,3210212,2413273324,29-12-2023,242
2022,11/1/22,939.5,1/4/22,520,625,7626,3037976,1799915172,30-12-2022,231
2021,15/01/2021,1150,30/11/2021,850,878,11592,1659167,1601359201,31-12-2021,240
2020,14/12/2020,1040,27/11/2020,941,1028.9,1306,330420,319341989.8,31-12-2020,42
