Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
4/1/25,30/10/2025,1735,17/10/2025,1600,1696.75,1412,126176,212321537.5,31-10-2025,21
3/1/25,25/09/2025,1675,9/7/25,1430,1651.5,4611,492585,771996537.3,30-09-2025,63
2/1/25,4/6/25,1600,7/4/25,1237,1461.5,4022,1028235,1414306610,30-06-2025,58
1/1/25,23/01/2025,1560,6/3/25,1200,1350.25,3093,670696,944808750.8,28-03-2025,56
4/1/24,31/12/2024,1415,2/10/24,1190,1397.25,2923,890065,1154834886,31-12-2024,62
3/1/24,3/7/24,1266.75,9/9/24,1100,1200,2538,965493,1121188833,30-09-2024,63
2/1/24,14/05/2024,1350,16/04/2024,1001,1238,2369,335112,422907834.8,28-06-2024,58
1/1/24,28/03/2024,1235,2/1/24,955,1228.25,1955,302800,317825518.3,28-03-2024,58
4/1/23,9/10/23,1020,19/12/2023,946.25,953.75,1876,246468,241690825,29-12-2023,63
3/1/23,5/9/23,1060,4/7/23,835,1010.25,2489,644410,619126783.5,27-09-2023,60
2/1/23,16/05/2023,848.75,4/4/23,680,820.25,1872,448300,352555480,28-06-2023,57
1/1/23,10/3/23,708.25,19/01/2023,598,680.75,1747,1871034,1199900236,31-03-2023,62
4/1/22,3/10/22,710,25/11/2022,570,625,1165,90336,55418600,30-12-2022,60
3/1/22,28/09/2022,725,15/07/2022,531,706.5,1564,385781,232653244.5,30-09-2022,65
2/1/22,6/4/22,700,1/4/22,520,583,1361,1668389,940390677,30-06-2022,48
1/1/22,11/1/22,939.5,31/03/2022,570,576.25,3536,893470,571452650.5,31-03-2022,58
4/1/21,12/10/21,948.5,30/11/2021,850,878,2873,249697,225682284.8,31-12-2021,62
3/1/21,16/08/2021,1000,28/09/2021,899.25,900.25,3899,533280,502904102.3,30-09-2021,63
2/1/21,18/05/2021,1009.75,30/06/2021,950,954.75,2472,598100,573725455.5,30-06-2021,57
1/1/21,15/01/2021,1150,24/03/2021,975,979.75,2348,278090,299047358.9,31-03-2021,58
4/1/20,14/12/2020,1040,27/11/2020,941,1028.9,1306,330420,319341989.8,31-12-2020,42
