Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2020,17/02/2020,12.9,12/5/20,7.9,10.8,24294,299085445,3268963752,29-10-2020,167
2019,29/11/2019,14,9/5/19,8.6,12.3,18063,717512291,7872399198,31-12-2019,241
2018,8/5/18,14.8,20/12/2018,9.9,10.1,10428,217627328,2802621487,31-12-2018,240
2017,9/11/17,13.6,7/2/17,10.4,13,5717,482145466,5898864564,29-12-2017,241
2016,10/10/16,11.8,9/3/16,9.7,10.5,6331,413878475,4491001280,30-12-2016,239
2015,4/11/15,11.4,31/12/2015,10.5,10.7,1388,85552801,926849100.9,31-12-2015,40
