Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
10/1/20,2/10/20,11.3,6/10/20,10.6,10.8,3121,42957966,469076282.9,29-10-2020,20
9/1/20,21/09/2020,11.7,8/9/20,10.9,11.2,3142,40972078,458046735.7,30-09-2020,21
8/1/20,7/8/20,11.8,31/08/2020,10.9,11,2480,41241531,465092426.7,31-08-2020,20
7/1/20,28/07/2020,11.6,13/07/2020,10.1,11.1,3904,47510647,528172425.5,31-07-2020,23
6/1/20,25/06/2020,12.2,8/6/20,10,11.6,3274,39428982,438018746.5,30-06-2020,21
5/1/20,29/05/2020,10.8,12/5/20,7.9,10.4,5192,51022621,478923514.9,29-05-2020,14
3/1/20,2/3/20,12,20/03/2020,8.4,8.5,1695,8373135,84250572.5,20-03-2020,10
2/1/20,17/02/2020,12.9,28/02/2020,11.8,11.8,795,12118223,150935372.8,28-02-2020,18
1/1/20,7/1/20,12.9,30/01/2020,12.2,12.5,691,15460262,196447674,31-01-2020,20
12/1/19,2/12/19,13.6,31/12/2019,12.1,12.3,1191,21977385,283496122.9,31-12-2019,20
11/1/19,29/11/2019,14,7/11/19,12.2,13.5,1725,102595244,1324376382,29-11-2019,19
10/1/19,31/10/2019,13,4/10/19,10.4,12.9,2563,240670347,2836464119,31-10-2019,23
9/1/19,2/9/19,10.9,24/09/2019,10.4,10.6,644,31694551,334024671.7,30-09-2019,20
8/1/19,1/8/19,11.2,23/08/2019,10.5,10.8,1304,57132546,610640313.9,30-08-2019,20
7/1/19,30/07/2019,11.3,4/7/19,8.9,11.1,3861,73031961,741208709,31-07-2019,22
6/1/19,12/6/19,9.4,28/06/2019,8.9,9,1121,11970428,108143858.3,28-06-2019,19
5/1/19,30/05/2019,9.4,9/5/19,8.6,9.3,1110,74288983,669615354.7,31-05-2019,21
4/1/19,4/4/19,9.7,25/04/2019,8.6,8.7,1552,56501140,512695066,30-04-2019,19
3/1/19,11/3/19,9.9,26/03/2019,9,9.1,843,8486704,79610301.9,29-03-2019,19
2/1/19,8/2/19,10.1,28/02/2019,9.5,9.7,979,33499728,315515090.6,28-02-2019,18
1/1/19,3/1/19,10.3,31/01/2019,9.9,9.9,1170,5663274,56609208.8,31-01-2019,21
12/1/18,5/12/18,11.4,20/12/2018,9.9,10.1,2446,31747068,330428502,31-12-2018,20
11/1/18,2/11/18,12.1,30/11/2018,11.3,11.3,1512,21378348,248714033.9,30-11-2018,19
10/1/18,30/10/2018,12.3,31/10/2018,11.4,11.6,760,14951482,174553083.6,31-10-2018,22
9/1/18,14/09/2018,12.5,26/09/2018,11.6,11.9,984,19899402,241249564.5,28-09-2018,19
8/1/18,9/8/18,14.5,31/08/2018,12,12,1143,12550654,173652533,31-08-2018,22
7/1/18,26/07/2018,14.4,3/7/18,13.7,14.2,307,6030079,84591702.9,31-07-2018,21
6/1/18,21/06/2018,14.6,18/06/2018,14.1,14.2,430,16701210,240888735.4,29-06-2018,19
5/1/18,8/5/18,14.8,14/05/2018,13.8,14.5,767,14788717,213843592.6,31-05-2018,21
4/1/18,27/04/2018,14.5,4/4/18,13.6,14.2,559,25958727,363173236.3,27-04-2018,19
3/1/18,14/03/2018,14,19/03/2018,13.3,13.8,540,17695898,244219040.2,29-03-2018,20
2/1/18,12/2/18,14,19/02/2018,13.4,13.5,605,23624691,321348872.6,28-02-2018,18
1/1/18,30/01/2018,13.7,2/1/18,12.8,13.7,375,12301052,165958589.9,30-01-2018,20
12/1/17,22/12/2017,13.2,20/12/2017,12.7,13,281,10663460,138641614.4,29-12-2017,19
11/1/17,9/11/17,13.6,16/11/2017,12.6,13,494,144247837,1912296198,30-11-2017,21
10/1/17,31/10/2017,13.6,11/10/17,12,13.5,859,24797294,320740048.7,31-10-2017,20
9/1/17,29/09/2017,12.2,13/09/2017,11.3,12.1,483,46965417,556332676.4,29-09-2017,19
8/1/17,1/8/17,11.8,24/08/2017,11.1,11.4,276,6257991,71472392.3,31-08-2017,22
7/1/17,12/7/17,12,31/07/2017,11.5,11.5,353,16111967,191137955.6,31-07-2017,21
6/1/17,1/6/17,12.1,29/06/2017,11.6,12,384,29762997,354639537.2,30-06-2017,20
5/1/17,9/5/17,12.3,16/05/2017,11.5,12.1,680,55842739,674585303.1,31-05-2017,20
4/1/17,28/04/2017,12.1,3/4/17,11.1,12,578,37958985,446513686.9,28-04-2017,17
3/1/17,29/03/2017,11.5,2/3/17,10.9,11.3,533,80292314,912046720.7,31-03-2017,23
2/1/17,14/02/2017,11.2,7/2/17,10.4,11,399,15153373,166392216.4,28-02-2017,18
1/1/17,31/01/2017,11.6,10/1/17,10.4,10.7,397,14091092,154066214.4,31-01-2017,21
12/1/16,5/12/16,10.9,5/12/16,10.2,10.5,351,77552782,814325112,30-12-2016,19
11/1/16,7/11/16,11.6,29/11/2016,10.1,10.4,580,9964004,107081674.7,30-11-2016,21
10/1/16,10/10/16,11.8,31/10/2016,11.4,11.5,467,32533258,376930371.6,31-10-2016,21
9/1/16,30/09/2016,11.6,7/9/16,11.1,11.6,542,24767779,282414634.1,30-09-2016,20
8/1/16,23/08/2016,11.6,5/8/16,10.8,11.2,600,17870694,197740663.8,31-08-2016,21
7/1/16,29/07/2016,11.1,7/7/16,10.4,11,445,79377905,871767848.2,29-07-2016,19
