Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2020-44,29/10/2020,11,29/10/2020,10.7,10.8,675,15861895,172186868.2,29-10-2020,4
2020-43,21/10/2020,11.2,22/10/2020,10.8,11,607,9436284,103722605.7,23-10-2020,5
2020-42,12/10/20,11.2,15/10/2020,10.9,11,623,6652804,73225384.3,16-10-2020,5
2020-41,9/10/20,11.2,6/10/20,10.6,11.1,1069,10755380,117117692.1,9/10/20,5
2020-40,28/09/2020,11.4,2/10/20,11.1,11.2,495,3581229,40383420,2/10/20,4
2020-39,21/09/2020,11.7,25/09/2020,11.3,11.3,609,8747145,99866977.6,25-09-2020,5
2020-38,18/09/2020,11.7,14/09/2020,11.1,11.6,806,8417626,95724329.3,18-09-2020,5
2020-37,11/9/20,11.2,8/9/20,10.9,11.1,661,11365964,125117026.2,11/9/20,5
2020-36,4/9/20,11.2,4/9/20,10.9,11,1132,11042912,121077820.4,4/9/20,4
2020-35,24/08/2020,11.6,28/08/2020,11.1,11.1,613,7971318,89334615.8,28-08-2020,5
2020-34,21/08/2020,11.5,17/08/2020,11.1,11.5,554,17095746,192826662.4,21-08-2020,5
2020-33,13/08/2020,11.5,11/8/20,11.2,11.3,418,8998773,101710220,14-08-2020,5
2020-32,7/8/20,11.8,6/8/20,11.2,11.4,481,5244499,59921823.3,7/8/20,4
2020-31,28/07/2020,11.6,31/07/2020,10.9,11.1,1387,22421359,247904564.3,31-07-2020,5
2020-30,24/07/2020,11.5,20/07/2020,11.2,11.5,396,11764561,132966770.5,24-07-2020,5
2020-29,17/07/2020,11.3,13/07/2020,10.1,11.1,765,3762472,40672194.7,17-07-2020,5
2020-28,8/7/20,11.6,10/7/20,10.9,11,683,6108422,68201577.9,10/7/20,5
2020-27,30/06/2020,12,3/7/20,11,11.2,1112,9693534,112254444.1,3/7/20,5
2020-26,25/06/2020,12.2,22/06/2020,11.3,12,813,10381228,123960017.9,26-06-2020,5
2020-25,19/06/2020,11.3,15/06/2020,10.5,11.2,604,7911572,86405876.4,19-06-2020,5
2020-24,11/6/20,10.8,8/6/20,10,10.5,713,3658569,38111005.5,12/6/20,5
2020-23,1/6/20,10.5,4/6/20,10,10,705,11237912,115714720.7,4/6/20,4
2020-22,29/05/2020,10.8,26/05/2020,9.5,10.4,1365,16868705,173027498,29-05-2020,4
2020-21,19/05/2020,10,18/05/2020,8.8,9.5,2058,21631036,203900646.6,22-05-2020,5
2020-20,15/05/2020,8.9,12/5/20,7.9,8.8,1769,12522880,101995370.3,15-05-2020,5
12/1/20,20/03/2020,9,20/03/2020,8.4,8.5,343,1842222,15739990.1,20-03-2020,1
11/1/20,11/3/20,11,13/03/2020,9.4,9.5,854,4747267,47931870.2,13-03-2020,4
10/1/20,2/3/20,12,6/3/20,10.9,11,498,1783646,20578712.2,6/3/20,5
9/1/20,24/02/2020,12.8,28/02/2020,11.8,11.8,402,2557380,31252151.9,28-02-2020,5
8/1/20,17/02/2020,12.9,20/02/2020,12.6,12.6,162,864527,11000991.8,20-02-2020,4
7/1/20,14/02/2020,12.6,14/02/2020,12.3,12.6,151,5286584,65555702.1,14-02-2020,5
6/1/20,6/2/20,12.8,6/2/20,12.4,12.5,80,3409732,43126527,7/2/20,4
5/1/20,31/01/2020,12.6,30/01/2020,12.2,12.5,131,3614639,45120471.7,31-01-2020,5
4/1/20,23/01/2020,12.6,24/01/2020,12.4,12.5,113,307057,3836329.5,24-01-2020,5
3/1/20,13/01/2020,12.7,14/01/2020,12.3,12.5,91,265534,3316144.7,17-01-2020,4
2/1/20,7/1/20,12.9,9/1/20,12.3,12.5,293,9779677,125087148.5,9/1/20,4
1/1/20,3/1/20,12.9,3/1/20,12.2,12.8,63,1493355,19087579.6,3/1/20,2
2019-52,26/12/2019,12.6,24/12/2019,12.3,12.5,212,270937,3370697.9,27-12-2019,4
2019-51,18/12/2019,12.8,20/12/2019,12.4,12.5,225,1498719,18818607.9,20-12-2019,5
2019-50,10/12/19,13,13/12/2019,12.7,12.7,243,11038455,141314488.5,13-12-2019,4
2019-49,2/12/19,13.6,6/12/19,12.8,12.9,351,8145926,107376755.6,6/12/19,5
2019-48,29/11/2019,14,27/11/2019,13,13.5,535,48330274,629196502,29-11-2019,5
2019-47,21/11/2019,13.1,22/11/2019,12.8,13,551,31294860,404762555.7,22-11-2019,5
2019-46,15/11/2019,12.8,15/11/2019,12.5,12.7,209,7103443,90170859.5,15-11-2019,3
2019-45,5/11/19,12.9,7/11/19,12.2,12.6,366,15056784,189799579.5,8/11/19,5
2019-44,1/11/19,13,28/10/2019,12.2,12.9,625,50114510,634259354,1/11/19,5
2019-43,25/10/2019,12.3,23/10/2019,11.9,12.1,588,42227394,507780174.7,25-10-2019,5
2019-42,18/10/2019,12.1,14/10/2019,10.9,12,1130,96958248,1131660160,18-10-2019,5
2019-41,11/10/19,10.9,8/10/19,10.5,10.9,186,51705564,568225715.5,11/10/19,5
2019-40,2/10/19,10.7,4/10/19,10.4,10.6,127,1413304,14933460.8,4/10/19,5
2019-39,27/09/2019,10.6,24/09/2019,10.4,10.6,104,1856434,19493136,27-09-2019,5
2019-38,17/09/2019,10.7,20/09/2019,10.4,10.5,189,11546318,121656766.6,20-09-2019,5
2019-37,12/9/19,10.7,11/9/19,10.5,10.6,140,9295955,97998209.5,12/9/19,4
2019-36,2/9/19,10.9,6/9/19,10.5,10.5,182,8057054,84928698.2,6/9/19,5
2019-35,30/08/2019,10.9,29/08/2019,10.6,10.8,154,16841964,179176415.7,30-08-2019,5
2019-34,21/08/2019,10.9,23/08/2019,10.5,10.6,333,21930207,230474490.4,23-08-2019,5
2019-33,15/08/2019,11.1,16/08/2019,10.6,10.7,201,1849316,19995716.3,16-08-2019,3
2019-32,6/8/19,11.1,8/8/19,10.7,10.9,450,12187636,133174661.5,9/8/19,5
2019-31,30/07/2019,11.3,2/8/19,10.9,11.1,658,13176052,145940907.2,2/8/19,5
2019-30,22/07/2019,11,24/07/2019,10.6,10.9,512,3133802,33785884.7,26-07-2019,5
2019-29,19/07/2019,11.1,15/07/2019,9.8,10.9,1663,29791349,324237173.2,19-07-2019,4
2019-28,12/7/19,10,8/7/19,9.2,9.8,737,7582731,71839661.3,12/7/19,5
2019-27,5/7/19,9.4,4/7/19,8.9,9.3,457,23671450,213224112.6,5/7/19,5
2019-26,27/06/2019,9.1,28/06/2019,8.9,9,218,1518796,13667544.3,28-06-2019,5
2019-25,19/06/2019,9.2,21/06/2019,8.9,8.9,283,1255432,11384490.2,21-06-2019,5
2019-24,12/6/19,9.4,13/06/2019,9,9.1,392,6930281,62641775.1,14-06-2019,5
2019-23,4/6/19,9.4,7/6/19,9,9.2,228,2265919,20450048.7,7/6/19,4
2019-22,30/05/2019,9.4,28/05/2019,9.1,9.3,220,5822538,54120375,31-05-2019,5
2019-21,21/05/2019,9.4,23/05/2019,9,9.2,358,8810299,79351792.3,24-05-2019,4
2019-20,17/05/2019,9.3,16/05/2019,8.8,9,256,56636097,509600025.8,17-05-2019,5
2019-19,7/5/19,9.1,9/5/19,8.6,8.8,200,2421977,21302543.8,10/5/19,5
2019-18,3/5/19,9,2/5/19,8.7,8.8,185,1145300,10016197.9,3/5/19,4
2019-17,23/04/2019,9,25/04/2019,8.6,8.7,450,3866738,33947886.1,26-04-2019,4
2019-16,18/04/2019,9.3,18/04/2019,9,9,203,11385924,103501207,18-04-2019,3
2019-15,9/4/19,9.5,11/4/19,9,9.1,586,39207494,356800183.6,12/4/19,5
2019-14,4/4/19,9.7,2/4/19,9.1,9.5,204,1493756,13670209.2,5/4/19,5
2019-13,29/03/2019,9.3,26/03/2019,9,9.1,277,3471964,31610739.5,29-03-2019,5
12/1/19,19/03/2019,9.6,22/03/2019,9.3,9.3,161,926653,8704505.6,22-03-2019,4
11/1/19,11/3/19,9.9,15/03/2019,9.4,9.5,168,642116,6107628.9,15-03-2019,5
10/1/19,8/3/19,9.8,5/3/19,9.4,9.8,169,1142830,11082100.4,8/3/19,4
9/1/19,27/02/2019,9.9,1/3/19,9.5,9.6,431,34494221,324636582.3,1/3/19,5
8/1/19,21/02/2019,10,22/02/2019,9.8,9.9,194,172041,1696352.3,22-02-2019,4
7/1/19,15/02/2019,10,15/02/2019,9.8,9.9,280,879860,8718670.8,15-02-2019,5
6/1/19,8/2/19,10.1,5/2/19,9.9,10,120,240759,2408119.7,8/2/19,4
5/1/19,31/01/2019,10.2,31/01/2019,9.9,10.1,229,436879,4343464.3,1/2/19,5
4/1/19,25/01/2019,10.1,25/01/2019,9.9,10,206,480145,4798079.7,25-01-2019,5
3/1/19,18/01/2019,10.2,18/01/2019,9.9,10,309,2661637,26587976.1,18-01-2019,4
2/1/19,8/1/19,10.2,11/1/19,10,10.1,168,1033454,10343645.7,11/1/19,5
1/1/19,31/12/2019,12.8,3/1/19,9.9,12.3,440,2090495,23312309,31-12-2019,5
2018-52,26/12/2018,10.3,28/12/2018,10,10.1,255,1602148,16047783.2,28-12-2018,4
2018-51,17/12/2018,10.6,20/12/2018,9.9,10,866,13767400,137725935,21-12-2018,5
2018-50,11/12/18,11.1,14/12/2018,10.3,10.3,752,10362845,109700361.6,14-12-2018,5
2018-49,5/12/18,11.4,7/12/18,10.8,10.9,535,5993253,66738944.1,7/12/18,5
2018-48,30/11/2018,11.7,30/11/2018,11.3,11.3,372,3154511,35892463.8,30-11-2018,5
2018-47,23/11/2018,11.7,23/11/2018,11.4,11.5,165,2303192,26488012.3,23-11-2018,3
2018-46,15/11/2018,11.9,12/11/18,11.3,11.6,179,2456862,28297156.4,16-11-2018,5
2018-45,5/11/18,12,9/11/18,11.3,11.7,230,1358183,15842109.3,9/11/18,4
2018-44,30/10/2018,12.3,31/10/2018,11.4,12,835,17837042,208666586.5,2/11/18,5
2018-43,26/10/2018,11.6,26/10/2018,11.4,11.6,72,424885,4854847,26-10-2018,4
2018-42,18/10/2018,11.8,19/10/2018,11.4,11.4,164,5874917,68686053.9,19-10-2018,5
2018-41,9/10/18,12.2,12/10/18,11.7,11.7,136,284187,3358419.5,12/10/18,5
2018-40,5/10/18,12.2,5/10/18,11.8,11.9,119,2636051,31181468.8,5/10/18,5
2018-39,28/09/2018,12,26/09/2018,11.6,11.9,210,4740263,55929738.1,28-09-2018,4
2018-38,17/09/2018,12.4,20/09/2018,11.8,12,242,1715277,20455877.8,21-09-2018,5
2018-37,14/09/2018,12.5,14/09/2018,12.2,12.3,264,10625708,130712684.2,14-09-2018,5
2018-36,7/9/18,12.4,3/9/18,12,12.4,268,2818154,34151264.4,7/9/18,5
2018-35,27/08/2018,13.4,31/08/2018,12,12,521,2572401,32341363.8,31-08-2018,5
2018-34,20/08/2018,14.4,24/08/2018,13.1,13.4,351,5289143,73966886.5,24-08-2018,4
2018-33,17/08/2018,14.4,16/08/2018,14.1,14.2,94,901979,12938846.1,17-08-2018,5
2018-32,9/8/18,14.5,7/8/18,14.1,14.3,100,1670592,23746931.9,10/8/18,5
2018-31,3/8/18,14.5,31/07/2018,14.1,14.5,93,2122801,30747695.1,3/8/18,5
2018-30,26/07/2018,14.4,25/07/2018,14.1,14.3,56,830472,11859991.2,26-07-2018,4
2018-29,20/07/2018,14.3,16/07/2018,14,14.2,50,202690,2873083.8,20-07-2018,5
2018-28,11/7/18,14.2,11/7/18,13.9,14,39,30001,419530.8,13-07-2018,5
2018-27,2/7/18,14.3,3/7/18,13.7,13.9,146,4960654,69349906.7,6/7/18,5
2018-26,29/06/2018,14.4,29/06/2018,14.2,14.2,54,1547681,21980489.5,29-06-2018,4
2018-25,21/06/2018,14.6,18/06/2018,14.1,14.3,179,10083469,146111709,22-06-2018,5
2018-24,13/06/2018,14.4,14/06/2018,14.1,14.1,75,4210183,60587658.1,14-06-2018,4
2018-23,8/6/18,14.4,8/6/18,14.1,14.2,94,856858,12165128.6,8/6/18,5
2018-22,28/05/2018,14.7,1/6/18,14.4,14.4,95,4925329,71418466.6,1/6/18,4
2018-21,25/05/2018,14.6,21/05/2018,14,14.6,144,2777233,40158108.5,25-05-2018,5
2018-20,18/05/2018,14.2,14/05/2018,13.8,14,93,269599,3802027.1,18-05-2018,5
2018-19,8/5/18,14.8,11/5/18,14,14.2,275,4359685,62837044.3,11/5/18,4
2018-18,4/5/18,14.6,2/5/18,14.3,14.5,188,2459890,35671696.3,4/5/18,4
2018-17,27/04/2018,14.5,24/04/2018,13.9,14.2,167,1824384,25559842.7,27-04-2018,5
2018-16,18/04/2018,14.2,20/04/2018,13.9,13.9,144,2134075,29864778.1,20-04-2018,5
2018-15,12/4/18,14,12/4/18,13.8,14,73,2326327,32511147,12/4/18,4
2018-14,6/4/18,14,4/4/18,13.6,13.9,175,19673941,275237468.5,6/4/18,5
2018-13,29/03/2018,13.9,28/03/2018,13.4,13.8,59,113807,1558759,29-03-2018,4
12/1/18,22/03/2018,13.9,19/03/2018,13.3,13.4,112,241497,3225462.4,23-03-2018,5
11/1/18,14/03/2018,14,16/03/2018,13.3,13.5,225,14259512,196798310.6,16-03-2018,5
10/1/18,8/3/18,14,7/3/18,13.6,13.9,101,1854590,25833583,9/3/18,5
9/1/18,2/3/18,13.9,28/02/2018,13.5,13.7,140,1900241,26004530.6,2/3/18,4
8/1/18,22/02/2018,13.9,19/02/2018,13.4,13.7,162,14213183,192590328.8,23-02-2018,5
7/1/18,12/2/18,14,16/02/2018,13.5,13.6,163,2736126,37492497.8,16-02-2018,4
6/1/18,9/2/18,13.9,9/2/18,13.4,13.5,108,414499,5607799.3,9/2/18,4
5/1/18,1/2/18,14,2/2/18,13.5,13.6,113,5657942,77423418.5,2/2/18,4
4/1/18,26/01/2018,13.6,24/01/2018,13.1,13.6,82,204232,2720619.6,26-01-2018,5
3/1/18,17/01/2018,13.5,19/01/2018,13.1,13.1,43,317969,4255225.3,19-01-2018,4
2/1/18,8/1/18,13.6,8/1/18,13.3,13.5,84,8451877,114073860.4,12/1/18,5
1/1/18,5/1/18,13.6,31/12/2018,10,10.1,166,3277588,44157585.5,31-12-2018,5
2017-52,29/12/2017,13.1,29/12/2017,13,13,36,29865,388711,29-12-2017,4
2017-51,22/12/2017,13.2,20/12/2017,12.7,13.2,93,410326,5350318.6,22-12-2017,5
2017-50,12/12/17,13.2,13/12/2017,12.8,13,74,1101945,14325293.6,15-12-2017,5
2017-49,8/12/17,13.1,8/12/17,12.8,13,78,9121324,118577291.2,8/12/17,5
2017-48,30/11/2017,13.1,30/11/2017,12.8,13,61,14432237,194536412.5,30-11-2017,4
2017-47,23/11/2017,13.4,20/11/2017,12.7,13,66,66465748,864049207.8,24-11-2017,5
2017-46,13/11/2017,13.4,16/11/2017,12.6,12.8,135,1726245,21925028.2,17-11-2017,5
2017-45,9/11/17,13.6,10/11/17,12.9,13.1,148,60921157,822302308.3,10/11/17,5
2017-44,1/11/17,13.6,30/10/2017,13.1,13.4,293,6384663,85990164.9,2/11/17,4
2017-43,27/10/2017,13.4,24/10/2017,12.7,13.3,193,13893166,179277390.2,27-10-2017,5
2017-42,17/10/2017,13.1,16/10/2017,12.4,12.7,252,2699788,34356711.7,20-10-2017,4
2017-41,13/10/2017,12.3,11/10/17,12,12.3,133,2344737,28461905.3,13-10-2017,5
2017-40,6/10/17,12.1,6/10/17,12,12,72,177390,2137117.9,6/10/17,4
2017-39,29/09/2017,12.2,28/09/2017,12,12.1,127,20076292,242922950.8,29-09-2017,5
2017-38,22/09/2017,12.1,19/09/2017,11.5,12,221,10190731,123036447,22-09-2017,5
2017-37,14/09/2017,11.7,13/09/2017,11.3,11.5,100,4590961,52349671.2,15-09-2017,5
2017-36,6/9/17,11.5,8/9/17,11.3,11.4,35,12107433,138023607.4,8/9/17,4
2017-35,30/08/2017,11.5,31/08/2017,11.3,11.4,52,443703,5014853.5,31-08-2017,4
2017-34,22/08/2017,11.6,24/08/2017,11.1,11.3,61,1891443,21353727.3,25-08-2017,5
2017-33,14/08/2017,11.7,17/08/2017,11.3,11.4,63,956678,10997583.7,18-08-2017,5
2017-32,10/8/17,11.7,9/8/17,11.3,11.5,33,46059,526648.4,11/8/17,4
2017-31,1/8/17,11.8,4/8/17,11.4,11.4,77,2923559,33619265.9,4/8/17,5
2017-30,27/07/2017,11.9,28/07/2017,11.5,11.8,78,1880156,22167624,28-07-2017,5
2017-29,18/07/2017,11.8,21/07/2017,11.5,11.6,102,1674500,19640019.6,21-07-2017,5
2017-28,12/7/17,12,14/07/2017,11.7,11.8,88,1396645,16523657.6,14-07-2017,5
2017-27,7/7/17,12,4/7/17,11.6,11.9,75,11157215,132766967.9,7/7/17,5
2017-26,30/06/2017,12,29/06/2017,11.6,12,77,5514435,65671507,30-06-2017,4
