Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2025-45,3/11/25,207.5,3/11/25,205,207.25,244,882922,182122238.8,3/11/25,1
2025-44,27/10/2025,206,29/10/2025,202.75,205,1235,1980774,404637315,31-10-2025,5
2025-43,22/10/2025,207.5,24/10/2025,204,205.5,1484,2465943,507873022.8,24-10-2025,4
2025-42,17/10/2025,206.75,13/10/2025,200,206.5,1626,1938848,397336468,17-10-2025,5
2025-41,10/10/25,206,7/10/25,195.75,205,2570,35848685,7024706976,10/10/25,4
2025-40,3/10/25,195,30/09/2025,192.5,194.75,1582,11948911,2311617679,3/10/25,5
2025-39,23/09/2025,195.25,23/09/2025,190,193.5,1557,8845537,1711665555,26-09-2025,5
2025-38,17/09/2025,191.75,15/09/2025,181.75,190.25,1858,2302594,433156660.8,19-09-2025,5
2025-37,8/9/25,193,12/9/25,187,187,1830,2069612,393136972.5,12/9/25,5
2025-36,1/9/25,197,3/9/25,191.5,192.5,1287,8366331,1610649078,4/9/25,4
2025-35,26/08/2025,196,25/08/2025,192.5,194.75,1554,1642527,319484757.8,29-08-2025,5
2025-34,21/08/2025,199.25,18/08/2025,181.5,195.25,3339,6415376,1242197826,22-08-2025,5
2025-33,15/08/2025,181.75,14/08/2025,172,181.25,1678,3617173,640882442.5,15-08-2025,5
2025-32,4/8/25,175,6/8/25,170,173.5,884,883217,153542634.3,7/8/25,4
2025-31,1/8/25,174.25,29/07/2025,169,174,1657,4528330,780376652,1/8/25,5
2025-30,25/07/2025,171.5,22/07/2025,168.25,171.25,1360,2272974,385387035.8,25-07-2025,5
2025-29,15/07/2025,178.75,14/07/2025,163.25,170,2099,3908990,656836218.5,18-07-2025,5
2025-28,11/7/25,164,8/7/25,156.5,163.5,1282,7030331,1115271272,11/7/25,4
2025-27,4/7/25,160.5,30/06/2025,156.5,159.75,1524,4864300,773147530.3,4/7/25,5
2025-26,27/06/2025,157,23/06/2025,148.5,156.25,1741,3891913,599694504.5,27-06-2025,5
2025-25,17/06/2025,156,16/06/2025,143,152,1804,6392118,978705576.8,20-06-2025,5
2025-24,12/6/25,156.5,9/6/25,151.5,153.75,1171,2194704,339916462.8,13-06-2025,4
2025-23,6/6/25,156,2/6/25,148,154,2047,3902435,599584378.3,6/6/25,5
2025-22,30/05/2025,149.75,26/05/2025,142,148.25,1012,1919824,279786284,30-05-2025,5
2025-21,19/05/2025,144.75,23/05/2025,142.5,143,1029,5501427,789356709.8,23-05-2025,5
2025-20,16/05/2025,143.5,14/05/2025,137.75,142.75,737,2747531,390350501,16-05-2025,3
2025-19,5/5/25,139.25,7/5/25,136,137.25,624,235561,32267394.75,9/5/25,5
2025-18,28/04/2025,139.5,28/04/2025,135.5,136,807,2083319,284239300.5,2/5/25,4
2025-17,21/04/2025,140,24/04/2025,135,136.5,973,1599153,218781010.3,25-04-2025,5
2025-16,17/04/2025,140,17/04/2025,138,139,370,125946,17526436.25,17-04-2025,2
2025-15,10/4/25,145,7/4/25,120,139.75,3922,14321768,1877159925,11/4/25,5
2025-14,1/4/25,146,4/4/25,130,134,1852,5047667,706101358,4/4/25,4
2025-13,28/03/2025,148.75,28/03/2025,145.25,147.5,897,4960123,730661491.5,28-03-2025,5
12/1/25,21/03/2025,146.75,18/03/2025,135.5,146,1075,1125061,157662786.3,21-03-2025,5
11/1/25,10/3/25,143.75,11/3/25,138,141,796,586171,82440589,14-03-2025,4
10/1/25,3/3/25,151,4/3/25,141.75,142.75,1324,1650358,237836737.3,7/3/25,5
9/1/25,24/02/2025,152,25/02/2025,144.5,148.5,941,2241194,329592774,28-02-2025,4
8/1/25,21/02/2025,152.25,17/02/2025,148,152,1507,11310382,1701376365,21-02-2025,5
7/1/25,14/02/2025,148.5,11/2/25,143,148,814,1127481,164459592.8,14-02-2025,4
6/1/25,3/2/25,149.5,6/2/25,139.5,146,1518,2308800,332304169.5,7/2/25,4
5/1/25,27/01/2025,150.25,29/01/2025,147.75,148.5,1266,6017320,898679772,31-01-2025,5
4/1/25,23/01/2025,151,20/01/2025,145.5,149.25,2558,13694518,2024762345,24-01-2025,5
3/1/25,17/01/2025,145.25,15/01/2025,138,145.25,1032,4068842,585296237.5,17-01-2025,3
2/1/25,6/1/25,143,7/1/25,135,138.5,2293,4949009,691047604.8,10/1/25,5
1/1/25,3/1/25,146.5,3/1/25,139,141.75,1158,4268024,620051491.5,3/1/25,2
2024-52,27/12/2024,141.5,23/12/2024,137,140.25,1817,7275772,1011070289,27-12-2024,4
2024-51,19/12/2024,138,16/12/2024,132,135.5,2395,9914113,1349814188,20-12-2024,5
2024-50,13/12/2024,131.75,9/12/24,127.75,131.5,1677,5238335,680679567.8,13-12-2024,5
2024-49,5/12/24,130,2/12/24,122.5,128.75,1679,6720424,853013885.3,6/12/24,5
2024-48,29/11/2024,124,26/11/2024,119,123.25,1225,3087197,377584298.3,29-11-2024,5
2024-47,18/11/2024,128.75,21/11/2024,119,122,2138,7374592,915609144.8,22-11-2024,5
