Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2025,3/11/25,207.5,7/4/25,120,207.25,65918,220084024,36713670131,3/11/25,199
2024,31/12/2024,145.75,12/9/24,78,144.75,61562,207727204,22808365391,31-12-2024,241
2023,10/8/23,107.5,2/1/23,50,95.5,42095,94766399,7780122348,29-12-2023,242
2022,24/01/2022,85,8/11/22,48.7,50.2,25271,114432234,6470299022,30-12-2022,231
2021,29/01/2021,105,23/12/2021,76.9,79.3,58754,187852580,16244237893,31-12-2021,240
2020,8/12/20,85.2,2/11/20,72.8,80.9,11277,25347589,1996420255,31-12-2020,42
