Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2020-44,28/10/2020,132.2,26/10/2020,128,130.9,671,2245141,292705373.9,29-10-2020,4
2020-43,20/10/2020,136.6,22/10/2020,127,132,1433,5654469,757761198.6,23-10-2020,5
2020-42,15/10/2020,134.5,13/10/2020,128,132.8,791,6508326,859004039.1,16-10-2020,5
2020-41,9/10/20,133,5/10/20,124,132.2,2234,26816242,3492698932,9/10/20,5
2020-40,28/09/2020,137.9,2/10/20,132.8,134,990,3384489,455982399.9,2/10/20,4
2020-39,24/09/2020,138,25/09/2020,135.7,135.9,1055,3897337,531523729.7,25-09-2020,5
2020-38,18/09/2020,138,15/09/2020,135,137.9,1382,10697294,1452199489,18-09-2020,5
2020-37,11/9/20,136.7,7/9/20,132,135.9,1305,21801362,2921728899,11/9/20,5
2020-36,31/08/2020,136.5,31/08/2020,131,132.9,1006,6041905,814987798.5,4/9/20,4
2020-35,24/08/2020,136.1,25/08/2020,131,134,1789,9508060,1271148115,28-08-2020,5
2020-34,21/08/2020,135,17/08/2020,125,134.9,4097,15499015,2034357315,21-08-2020,5
2020-33,14/08/2020,125,10/8/20,113.5,124.5,2688,18258618,2179989385,14-08-2020,5
2020-32,7/8/20,117,4/8/20,111.5,114.9,1551,6063471,690502707.2,7/8/20,4
2020-31,27/07/2020,112.7,30/07/2020,108.5,110.8,2329,3921351,433310215.9,31-07-2020,5
2020-30,21/07/2020,115,23/07/2020,110.7,112,1924,4373328,493186799.8,24-07-2020,5
2020-29,14/07/2020,112,13/07/2020,104,111.4,3662,5955908,648219835,17-07-2020,5
2020-28,7/7/20,116,10/7/20,110.3,110.5,6302,17417614,1960019462,10/7/20,5
2020-27,29/06/2020,129.5,3/7/20,115.3,115.6,4390,13619981,1645406457,3/7/20,5
2020-26,25/06/2020,132,22/06/2020,118,128.2,2630,2964768,370798053.4,26-06-2020,5
2020-25,18/06/2020,120.5,15/06/2020,113.4,117,1660,3056032,359679900.1,19-06-2020,5
2020-24,9/6/20,118.4,8/6/20,110,114.9,1763,2598512,297380480.5,12/6/20,5
2020-23,2/6/20,112,1/6/20,106.1,110,1385,10929106,1203527183,4/6/20,4
2020-22,29/05/2020,117.5,26/05/2020,104.4,110.1,3218,20208218,2219126685,29-05-2020,4
2020-21,21/05/2020,104.9,18/05/2020,82.8,104.4,4335,12366450,1190295463,22-05-2020,5
2020-20,11/5/20,107.5,15/05/2020,79.9,80.5,4328,13610973,1133705525,15-05-2020,5
12/1/20,20/03/2020,123,20/03/2020,113.9,115.4,405,618327,71669492.5,20-03-2020,1
11/1/20,10/3/20,138.1,13/03/2020,123.7,125.7,1910,4720924,605341989.2,13-03-2020,4
10/1/20,5/3/20,150,6/3/20,140,140.1,736,3625358,516007107.2,6/3/20,5
9/1/20,24/02/2020,157.5,28/02/2020,145,146,808,1683658,251749969.9,28-02-2020,5
8/1/20,19/02/2020,157.5,17/02/2020,154.1,155.5,282,541013,83976427.6,20-02-2020,4
7/1/20,10/2/20,161,14/02/2020,154.8,155,617,2428034,379247863.2,14-02-2020,5
6/1/20,3/2/20,162.1,7/2/20,160.1,161.5,282,1322858,212825706.1,7/2/20,4
5/1/20,27/01/2020,167,28/01/2020,160.5,162.1,353,1560875,251892879.4,31-01-2020,5
4/1/20,22/01/2020,168.8,21/01/2020,163,167,333,1299202,216197129,24-01-2020,5
3/1/20,16/01/2020,168,13/01/2020,162.5,163.1,316,3646759,595599035.3,17-01-2020,4
2/1/20,6/1/20,167,9/1/20,161,162.8,481,145113012,23228787949,9/1/20,4
1/1/20,2/1/20,167,3/1/20,163.2,164.1,116,105194,17331492.3,3/1/20,2
2019-52,27/12/2019,166.4,24/12/2019,164,165,185,1335244,220312264.2,27-12-2019,4
2019-51,20/12/2019,165,18/12/2019,160.5,164.5,286,4069019,669547222.6,20-12-2019,5
2019-50,9/12/19,168,10/12/19,160,162.3,398,2708060,434447040.4,13-12-2019,4
2019-49,3/12/19,170.4,6/12/19,168,168.8,577,2873936,486532519.1,6/12/19,5
2019-48,29/11/2019,172,26/11/2019,160,169,840,2893796,480450145.3,29-11-2019,5
2019-47,18/11/2019,166,21/11/2019,159.8,160.5,916,6616942,1064179358,22-11-2019,5
2019-46,15/11/2019,158.8,13/11/2019,154,158.2,295,9052697,1394942949,15-11-2019,3
2019-45,5/11/19,158,6/11/19,153,154,433,13882961,2140760481,8/11/19,5
2019-44,31/10/2019,158,29/10/2019,156.1,157,233,5099786,800623102.5,1/11/19,4
2019-43,22/10/2019,160,25/10/2019,157,157,310,3815330,608346035.5,25-10-2019,5
2019-42,18/10/2019,159.1,15/10/2019,156,159,333,1149104,182052729.2,18-10-2019,5
2019-41,10/10/19,157.9,7/10/19,151.6,156,296,1606822,248474574.8,11/10/19,5
2019-40,30/09/2019,156.5,3/10/19,151,152,197,5008730,766278540.1,4/10/19,5
2019-39,27/09/2019,155.6,23/09/2019,150.2,155.4,254,3010151,455620431,27-09-2019,5
2019-38,16/09/2019,155,20/09/2019,150,150.1,363,4999608,758415846.8,20-09-2019,5
2019-37,12/9/19,155.5,9/9/19,150.5,155,154,1807676,279901564.5,12/9/19,4
2019-36,2/9/19,155,6/9/19,150.5,151.1,260,620643,94121405.9,6/9/19,5
2019-35,28/08/2019,158.8,26/08/2019,151.6,153.2,614,3063301,477794970.4,30-08-2019,5
2019-34,21/08/2019,154.2,19/08/2019,149,153.1,357,2697214,411097999.9,23-08-2019,5
2019-33,13/08/2019,153,15/08/2019,148,150.2,369,16477842,2464000910,16-08-2019,3
2019-32,9/8/19,150,7/8/19,145.5,150,453,2745462,405335268.2,9/8/19,5
2019-31,30/07/2019,154,2/8/19,146.5,147,560,9663883,1451209047,2/8/19,5
2019-30,25/07/2019,154.9,22/07/2019,147,149,528,1392993,208354393.1,26-07-2019,5
2019-29,19/07/2019,153,17/07/2019,145,150,368,1402132,208928727.4,19-07-2019,4
2019-28,8/7/19,146.9,10/7/19,139,145.1,567,2916746,410117840.8,12/7/19,5
2019-27,4/7/19,146,1/7/19,139.9,145.6,361,3310414,480184279.3,5/7/19,5
2019-26,27/06/2019,140,28/06/2019,138,138.7,131,715358,99089742.4,28-06-2019,5
2019-25,19/06/2019,141.5,20/06/2019,137.5,138.7,294,1820488,256135717.9,21-06-2019,5
2019-24,12/6/19,141,14/06/2019,138,138.3,253,143524,20100823.9,14-06-2019,5
2019-23,7/6/19,140,3/6/19,135.6,138.6,171,883276,120198049.6,7/6/19,4
2019-22,30/05/2019,139.6,28/05/2019,136.9,137.3,377,5663233,775424419.4,31-05-2019,5
2019-21,22/05/2019,140,21/05/2019,137.5,138,280,1483680,204958331.5,24-05-2019,4
2019-20,13/05/2019,140,14/05/2019,134.8,136,747,13173320,1787347903,17-05-2019,5
2019-19,6/5/19,145,9/5/19,136.5,137.1,1005,2424294,337150710.3,10/5/19,5
2019-18,30/04/2019,150,29/04/2019,144,145,373,699215,103407636.7,3/5/19,4
2019-17,23/04/2019,150,25/04/2019,139.9,143.5,901,15478674,2169271969,26-04-2019,4
2019-16,16/04/2019,154,16/04/2019,151,152,75,560324,85622875.7,18-04-2019,3
2019-15,10/4/19,154,12/4/19,151,153,128,1937502,293775039.6,12/4/19,5
2019-14,1/4/19,156,3/4/19,152.5,154,206,5724700,887214266.1,5/4/19,5
2019-13,28/03/2019,157,26/03/2019,148.3,156,412,2790670,429023443,29-03-2019,5
12/1/19,19/03/2019,152,19/03/2019,150.1,150.5,140,981778,147845701.4,22-03-2019,4
11/1/19,11/3/19,157,14/03/2019,150,151,311,3172093,482823006.1,15-03-2019,5
10/1/19,5/3/19,158,6/3/19,155,155.1,161,9529874,1496085960,8/3/19,4
9/1/19,28/02/2019,159.5,26/02/2019,153,155,527,6911851,1090057135,1/3/19,5
8/1/19,22/02/2019,156,22/02/2019,153,154.5,153,632486,97387442.2,22-02-2019,4
7/1/19,11/2/19,157.9,15/02/2019,152.7,153.1,200,14867169,2301670825,15-02-2019,5
6/1/19,8/2/19,158,5/2/19,155.5,156,121,6586875,1027560428,8/2/19,4
5/1/19,29/01/2019,159.6,31/01/2019,155,156,201,2622873,411831892.9,1/2/19,5
4/1/19,25/01/2019,157,24/01/2019,152,154.5,161,5168246,797173755.8,25-01-2019,5
