Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2020,22/01/2020,168.8,15/05/2020,79.9,130.9,65557,414063184,56139872480,29-10-2020,167
2019,29/11/2019,172,14/05/2019,134.8,167.6,18567,238485161,36144457949,31-12-2019,240
2018,8/1/18,167,16/10/2018,126,159.7,26737,316648465,47144745548,31-12-2018,240
2017,16/06/2017,180,28/03/2017,133.9,148.5,28760,298741018,46427408881,29-12-2017,241
2016,4/1/16,179,4/7/16,135,145,30764,154009455,23566312652,30-12-2016,237
2015,23/11/2015,191,15/12/2015,173.7,178.1,6196,25792909,4678128444,31-12-2015,40
