Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
4/1/20,20/10/2020,136.6,5/10/20,124,130.9,5388,43367782,5689406801,29-10-2020,20
3/1/20,24/09/2020,138,13/07/2020,104,134.6,32604,132711772,16555662203,30-09-2020,64
2/1/20,25/06/2020,132,15/05/2020,79.9,122.5,20926,71318416,7464176434,30-06-2020,35
1/1/20,22/01/2020,168.8,20/03/2020,113.9,115.4,6639,166665214,26430627041,20-03-2020,48
4/1/19,29/11/2019,172,3/10/19,151,167.6,5435,59474778,9404708808,31-12-2019,61
3/1/19,28/08/2019,158.8,10/7/19,139,153.8,5314,55585407,8336119414,30-09-2019,62
2/1/19,1/4/19,156,14/05/2019,134.8,138.7,4941,50707588,7139697485,28-06-2019,59
1/1/19,29/01/2019,159.6,26/03/2019,148.3,156,2877,72717388,11263932242,29-03-2019,58
4/1/18,7/12/18,161.9,16/10/2018,126,159.7,8799,150291579,22141359424,31-12-2018,61
3/1/18,20/07/2018,149.8,21/09/2018,127,131.5,8387,63036832,8676071793,28-09-2018,62
2/1/18,26/04/2018,164.8,10/5/18,135,147.5,4719,55145007,8548579233,29-06-2018,59
1/1/18,8/1/18,167,2/1/18,148.5,159.6,4832,48175047,7778735099,29-03-2018,58
4/1/17,3/10/17,166.1,14/12/2017,145,148.5,5464,49200190,7662999699,29-12-2017,60
3/1/17,3/7/17,179,25/08/2017,157.9,162.5,4754,56938561,9527330314,29-09-2017,62
2/1/17,16/06/2017,180,3/4/17,138,178.8,10252,105774496,17080376519,30-06-2017,57
1/1/17,14/02/2017,150,28/03/2017,133.9,137.9,8290,86827771,12156702349,31-03-2017,62
4/1/16,10/10/16,158,27/12/2016,143,145,6896,35605911,5341351160,30-12-2016,61
3/1/16,16/08/2016,159,4/7/16,135,154,8618,32560189,4803946482,30-09-2016,61
2/1/16,17/05/2016,165,30/06/2016,135,135,6302,36377631,5653270578,30-06-2016,57
1/1/16,4/1/16,179,23/03/2016,140,148,8948,49465724,7767744433,31-03-2016,58
4/1/15,23/11/2015,191,15/12/2015,173.7,178.1,6196,25792909,4678128444,31-12-2015,40
