Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2025,15/07/2025,26.1,7/4/25,18.3,21.1,186038,2788695751,62515733790,31-10-2025,199
2024,2/5/24,218,26/11/2024,19.1,22.6,87244,988452207,57105379452,31-12-2024,236
2023,8/8/23,200,28/02/2023,134.5,191,39200,237260095,38733474152,29-12-2023,242
2022,1/4/22,170,27/04/2022,116.25,135.25,42260,239436596,34609785063,30-12-2022,232
2021,25/01/2021,187,14/09/2021,129,150,70539,253792132,37575865540,31-12-2021,240
2020,30/12/2020,154,2/11/20,129,149.6,9266,45805863,6732789027,31-12-2020,42
