Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2020,17/09/2020,19.9,12/5/20,11.9,17.4,9957,52185780,799357852,29-10-2020,167
2019,20/11/2019,20.5,15/05/2019,13.5,18.5,5371,42957014,675978915.4,31-12-2019,240
2018,3/4/18,35,19/12/2018,15.8,16.1,7643,40228606,819514588.3,31-12-2018,179
2016,3/8/16,294,29/06/2016,205,237.1,4785,21644078,5070472448,30-09-2016,176
2015,6/11/15,285,4/12/15,240,246,450,1323817,358898273.6,31-12-2015,39
