Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/29/20,17,17.5,17,17.4,32,46172,798152.1
10/28/20,17.4,17.4,17,17.1,43,39578,676547.6
10/27/20,17.4,17.5,17.3,17.4,24,18363,319613.9
10/26/20,17.5,17.9,17.1,17.5,46,101127,1767926.9
10/23/20,17.9,17.9,17.5,17.8,21,12321,219663.6
10/22/20,17,18.1,17,17.8,29,46464,815113.4
10/21/20,18,18.2,17.1,17.4,100,626176,10992133.1
10/20/20,18,18.3,17.8,18,35,73870,1319790
10/19/20,18.4,18.4,17.9,18,57,153080,2758187.2
10/16/20,18,18.5,17.8,18.4,70,857816,15483278.5
10/15/20,18,18.2,17.9,17.9,61,245120,4407708.4
10/14/20,17.8,18.4,17.6,18.3,39,60074,1080327
10/13/20,18,18.2,17.8,17.8,59,84456,1505357.7
10/12/20,18,18.5,17.8,18,45,256836,4625888.2
10/9/20,17.9,18.1,17.7,18,79,219846,3944075
10/8/20,17,18,16.9,17.8,49,194890,3339016.1
10/7/20,16.9,17.6,16.9,17.2,51,45219,781311.5
10/6/20,16.5,19,16.2,17,122,306000,5233786.4
10/5/20,18.1,18.1,16.2,17,190,634917,10881387.9
10/2/20,19,19.2,18.8,19.1,42,233000,4433292.7
9/30/20,19,19,18.6,18.8,37,46870,876624.6
9/29/20,19,19.1,18.6,19,39,112127,2127943
9/28/20,18.6,19.2,18.6,19.1,40,113342,2160774.1
9/25/20,18.9,19.2,18.5,19,67,303214,5755205.8
9/24/20,18.8,19.1,18.6,19,79,397789,7547687.3
9/23/20,18.9,19,18.5,18.5,87,283334,5348318.6
9/22/20,18.8,18.9,18.4,18.6,98,337641,6275607.4
9/21/20,18.6,18.8,17.9,18.6,185,1162937,21480620.2
9/18/20,19,19.2,18.5,18.6,192,975870,18246417.5
9/17/20,19.2,19.9,18.7,19,266,1549112,29594734.3
9/16/20,17.7,19.1,17.7,18.9,444,2186208,40999530.2
9/15/20,16.5,17.8,16.4,17.5,344,2459599,42375572.7
9/14/20,16.5,16.7,16.4,16.5,134,694946,11467188
9/11/20,15.9,16.5,15.9,16.3,156,733932,11897955.2
9/10/20,15.5,15.9,15.5,15.8,61,174367,2722021.8
9/9/20,15.7,15.7,15.2,15.5,44,232488,3584348
9/8/20,15.3,15.6,15.3,15.4,27,28318,436796.5
9/7/20,15.7,15.7,15.1,15.2,45,56731,863037.4
9/4/20,15.6,15.6,15.3,15.4,53,79235,1220307.6
9/3/20,15.8,15.8,15.6,15.6,52,218391,3410313.8
9/2/20,15.6,16,15.6,15.8,41,77173,1216595.8
8/31/20,15.8,15.9,15.6,15.7,63,584258,9177011.4
