Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2025,15/10/2025,30,7/1/25,11.4,29,43735,624416154,10573975520,31-10-2025,198
2024,8/4/24,12.2,10/9/24,8.4,11.7,39945,628120935,6506462456,31-12-2024,241
2023,11/8/23,12.3,4/1/23,8.4,9,21857,394957280,4140068842,29-12-2023,242
2022,3/1/22,12.9,25/10/2022,7.9,8.5,34867,352327197,3571093914,30-12-2022,232
2021,23/06/2021,13.3,29/09/2021,10.6,10.9,29217,340422994,4148618457,31-12-2021,240
2020,9/12/20,12.7,3/11/20,10.8,12.4,5837,73882016,892682011.8,31-12-2020,42
