Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
4/1/25,15/10/2025,30,8/10/25,26.7,29,5167,36447062,1049642346,31-10-2025,21
3/1/25,29/08/2025,28.9,11/7/25,19,27,12892,107742721,2366233583,30-09-2025,63
2/1/25,20/06/2025,19.3,4/4/25,13,19.1,13632,219187341,3670034733,30-06-2025,58
1/1/25,28/03/2025,14.6,7/1/25,11.4,14.3,12044,261039030,3488064859,28-03-2025,56
4/1/24,31/12/2024,11.9,7/10/24,9.3,11.7,11849,229777556,2454334459,31-12-2024,62
3/1/24,1/7/24,9.9,10/9/24,8.4,9.3,12103,111390658,1000487904,30-09-2024,63
2/1/24,8/4/24,12.2,28/06/2024,9.7,9.8,9842,141134516,1609249618,28-06-2024,58
1/1/24,28/03/2024,12,24/01/2024,8.6,11.7,6151,145818205,1442390475,28-03-2024,58
4/1/23,6/10/23,11,27/12/2023,8.7,9,5418,45752189,433897582.6,29-12-2023,63
3/1/23,11/8/23,12.3,4/7/23,10.3,10.9,5451,111140973,1242943039,27-09-2023,60
2/1/23,3/5/23,11.3,15/05/2023,9.5,10.3,5332,139132168,1467924390,28-06-2023,57
1/1/23,8/3/23,11.1,4/1/23,8.4,10.4,5656,98931950,995303830.1,31-03-2023,62
4/1/22,6/12/22,9.8,25/10/2022,7.9,8.5,5392,59641513,530502969.8,30-12-2022,60
3/1/22,5/9/22,9.2,31/08/2022,8.1,8.6,7759,53588514,469269435.3,30-09-2022,65
2/1/22,13/06/2022,10.3,28/06/2022,8.4,8.5,6745,69299196,650858477.3,30-06-2022,49
1/1/22,3/1/22,12.9,31/03/2022,9.9,10,14971,169797974,1920463032,31-03-2022,58
4/1/21,26/11/2021,11.4,5/10/21,10.7,10.9,6430,62843330,695522366.8,31-12-2021,62
3/1/21,6/7/21,12.4,29/09/2021,10.6,10.8,12777,57758743,656789942,30-09-2021,63
2/1/21,23/06/2021,13.3,30/06/2021,12,12.2,4495,122942820,1571683203,30-06-2021,57
1/1/21,18/03/2021,13.2,9/2/21,11.9,13,5515,96878101,1224622945,31-03-2021,58
4/1/20,9/12/20,12.7,3/11/20,10.8,12.4,5837,73882016,892682011.8,31-12-2020,42
