Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2020,11/2/20,1160,12/5/20,875,955,4147,2405303,2350463207,29-10-2020,165
2019,2/1/19,1499,4/10/19,1045,1100.3,2122,2302018,2797115997,31-12-2019,213
2018,19/12/2018,1500,17/01/2018,992,1415,1459,1614011,1992433015,31-12-2018,215
2017,17/04/2017,1030,5/1/17,800,1004.5,1868,1411976,1339486682,29-12-2017,216
2016,18/05/2016,1140,27/12/2016,797,806.5,2954,3746928,3517094431,30-12-2016,227
2015,30/12/2015,1000,29/12/2015,956,992.5,298,681304,677937825.3,31-12-2015,32
