Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2020,2/1/20,96,14/05/2020,50,74.3,74555,359669083,25762716376,29-10-2020,167
2019,2/1/19,115.9,17/05/2019,88.6,95,21481,89289271,9042047818,31-12-2019,241
2018,11/1/18,142.5,25/10/2018,107.5,115,13414,95286086,12082609290,31-12-2018,240
2017,31/10/2017,150,30/03/2017,128.5,135.8,11811,144204885,20246299152,29-12-2017,241
2016,7/11/16,151.9,9/3/16,115,145,15189,96145515,12858366234,30-12-2016,240
2015,6/11/15,160,31/12/2015,139.9,140.2,3709,18125066,2613248573,31-12-2015,40
