Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
4/1/20,2/10/20,80,6/10/20,70.2,74.3,7970,13439246,1014645347,29-10-2020,20
3/1/20,24/08/2020,85,13/07/2020,66,79.9,26914,146301494,11491685728,30-09-2020,64
2/1/20,30/06/2020,79.9,14/05/2020,50,78.8,27936,158250820,9602901788,30-06-2020,35
1/1/20,2/1/20,96,20/03/2020,59.6,60.1,11735,41677523,3653483513,20-03-2020,48
4/1/19,19/11/2019,104,31/12/2019,94.7,95,9612,33896164,3368748590,31-12-2019,62
3/1/19,30/07/2019,115,1/7/19,92.5,98.1,5087,16136368,1680928131,30-09-2019,62
2/1/19,3/4/19,103,17/05/2019,88.6,91.9,3147,10842890,1004872408,28-06-2019,59
1/1/19,2/1/19,115.9,14/03/2019,97,98.7,3635,28413849,2987498689,29-03-2019,58
4/1/18,5/11/18,125.4,25/10/2018,107.5,115,4170,26876025,3069449703,31-12-2018,61
3/1/18,25/07/2018,130.7,28/09/2018,112.9,113,3262,16429914,2006298262,28-09-2018,62
2/1/18,24/04/2018,138.5,29/06/2018,122.9,123,3270,16777558,2150140551,29-06-2018,59
1/1/18,11/1/18,142.5,29/03/2018,133,135.8,2712,35202589,4856720776,29-03-2018,58
4/1/17,31/10/2017,150,29/11/2017,133,135.8,3553,48655002,6873568170,29-12-2017,60
3/1/17,20/09/2017,141,13/09/2017,134.6,138.5,2526,17797610,2457969895,29-09-2017,62
2/1/17,16/05/2017,149,3/4/17,130.5,139.2,3622,66451728,9354539735,30-06-2017,57
1/1/17,30/01/2017,148.5,30/03/2017,128.5,130.4,2110,11300545,1560221353,31-03-2017,62
4/1/16,7/11/16,151.9,28/11/2016,138.5,145,2561,22955963,3332083346,30-12-2016,61
3/1/16,30/09/2016,144.5,4/7/16,120.1,144,3600,12885435,1764417757,30-09-2016,61
2/1/16,8/4/16,136,27/06/2016,121,121.7,4132,32231900,4187088241,30-06-2016,60
1/1/16,4/1/16,142,9/3/16,115,125.5,4896,28072217,3574776891,31-03-2016,58
4/1/15,6/11/15,160,31/12/2015,139.9,140.2,3709,18125066,2613248573,31-12-2015,40
